DATE,MARY_M,JESSICA_M,OLIVIA_M,JOHN_M,MICHAEL_M,ETHAN_M,LESLIE_M,TAYLOR_M,QUINN_M,CHRISTINE_M,CHRIS_M,CHRISTOPHER_M,CHRISTIAN_M,CHRISTA_M,CHRISTY_M,CHRISTIE_M,CHRISTINA_M,KRISTY_M,KRISTINE_M,KRISTOPHER_M,CHRISTIANA_M,KRISTINA_M,KRIS_M,MARY_F,JESSICA_F,OLIVIA_F,JOHN_F,MICHAEL_F,ETHAN_F,LESLIE_F,TAYLOR_F,QUINN_F,CHRISTINE_F,CHRIS_F,CHRISTOPHER_F,CHRISTIAN_F,CHRISTA_F,CHRISTY_F,CHRISTIE_F,CHRISTINA_F,KRISTY_F,KRISTINE_F,KRISTOPHER_F,CHRISTIANA_F,KRISTINA_F,KRIS_F
1960,0,0,0,598,665,0,61,0,0,0,18,213,13,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,112,0,0,174,0,0,0,0,0,6,47,0,8,0,0,0,0
1961,0,0,0,591,724,0,53,0,0,0,16,196,19,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,92,0,0,145,0,0,0,0,0,0,32,0,15,0,0,0,0
1962,0,0,0,539,743,0,36,0,0,0,9,200,13,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,94,0,0,147,0,0,0,0,0,0,40,0,8,0,0,5,0
1963,0,0,0,550,776,0,47,0,0,0,11,212,20,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,66,0,0,175,0,0,0,0,0,0,45,0,19,0,0,12,0
1964,0,0,0,543,714,0,60,0,0,0,11,219,8,0,0,0,0,0,0,0,0,0,5,148,5,0,0,0,0,73,0,0,157,0,0,0,0,0,5,52,0,18,0,0,6,0
1965,0,0,0,507,660,0,41,0,0,0,9,215,10,0,0,0,0,0,0,0,0,0,6,113,0,0,0,0,0,63,0,0,159,0,0,0,0,0,0,58,0,16,0,0,11,0
1966,0,0,0,493,671,0,50,0,0,0,9,243,6,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,50,0,0,142,0,0,0,8,0,0,57,0,20,0,0,11,0
1967,0,0,0,412,730,0,41,0,0,0,8,243,16,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,40,0,0,161,0,0,0,0,0,0,74,0,27,0,0,21,0
1968,0,0,0,409,743,0,26,0,5,0,8,290,8,0,0,0,0,0,0,0,0,0,0,74,7,0,0,0,0,31,0,0,137,0,0,0,9,5,0,91,0,25,0,0,18,0
1969,0,0,0,396,755,0,30,0,6,0,5,377,14,0,0,0,0,0,0,0,0,0,0,73,6,0,0,0,0,26,0,0,168,0,0,0,11,0,0,93,5,26,0,0,20,0
1970,0,0,0,371,765,0,21,0,6,0,9,425,31,0,0,0,0,0,0,0,0,0,0,75,21,0,0,0,0,35,0,0,196,0,0,0,7,16,9,107,0,37,0,0,31,0
1971,0,0,0,367,683,0,22,0,5,0,12,441,25,0,0,0,0,0,0,5,0,0,0,56,24,0,0,0,0,23,0,0,153,0,0,0,7,13,8,111,0,18,0,0,39,0
1972,0,0,0,297,681,0,19,0,6,0,15,449,36,0,0,0,0,0,0,10,0,0,5,66,49,0,0,0,0,31,0,0,177,0,0,0,20,27,24,99,9,34,0,0,33,0
1973,0,0,0,256,731,0,14,0,7,0,10,470,30,0,0,0,0,0,0,19,0,0,0,50,61,0,0,0,0,28,0,0,179,0,0,0,16,27,14,103,27,29,0,0,35,0
1974,0,0,0,261,719,0,24,0,10,0,10,563,34,0,0,0,0,0,0,34,0,0,0,50,63,10,0,0,0,14,0,0,185,0,0,0,17,29,18,139,17,23,0,0,39,0
1975,0,0,0,231,777,0,16,0,0,0,6,600,42,0,0,0,0,0,0,34,0,0,6,51,104,15,0,0,0,27,0,0,174,0,0,0,18,32,31,177,20,32,0,0,44,0
1976,0,0,0,239,767,0,14,0,7,0,11,583,31,0,0,0,0,0,0,34,0,0,14,46,126,11,0,0,0,31,0,0,149,0,0,0,22,29,33,128,24,16,0,0,46,0
1977,0,0,0,248,802,0,17,7,6,0,8,588,38,0,0,0,0,0,0,41,0,0,9,56,154,16,0,0,0,21,0,0,133,0,0,0,15,23,22,142,35,23,0,0,43,0
1978,0,0,0,194,788,0,13,9,7,0,6,585,25,0,0,0,0,0,0,68,0,0,12,38,185,21,0,0,0,37,0,0,148,0,0,0,22,18,33,162,75,31,0,0,58,0
1979,0,0,0,229,791,0,22,9,5,0,9,585,17,0,0,0,0,0,0,63,0,0,6,44,203,8,0,0,0,31,0,7,144,0,0,0,23,22,23,174,87,26,0,0,56,0
1980,0,0,0,227,785,5,11,7,6,0,8,650,32,0,0,0,0,0,0,45,0,0,0,46,204,17,0,0,0,18,0,0,140,0,0,0,31,12,20,161,63,31,0,0,63,0
1981,0,0,0,228,751,0,13,19,6,0,0,622,24,0,0,0,0,0,0,44,0,0,0,66,268,11,0,0,0,28,0,0,122,0,0,0,21,38,20,165,55,26,0,0,62,0
1982,0,0,0,217,760,5,10,17,6,0,0,752,19,0,0,0,0,0,0,60,0,0,6,54,330,16,0,0,0,25,6,0,112,0,0,0,12,34,21,172,52,26,0,0,63,0
1983,0,0,0,226,778,9,11,27,8,0,8,692,23,0,0,0,0,0,0,44,0,0,0,38,322,9,0,0,0,28,6,0,112,0,0,0,12,11,16,190,43,23,0,0,87,0
1984,0,0,0,219,813,0,6,24,6,0,5,670,19,0,0,0,0,0,0,48,0,0,0,45,366,16,0,0,0,24,8,0,136,0,0,0,18,8,20,167,42,24,0,0,88,0
1985,0,0,0,191,618,5,7,58,0,0,6,658,18,0,0,0,0,0,0,44,0,0,0,40,393,11,0,0,0,22,7,0,109,0,0,0,6,8,18,162,38,18,0,0,70,0
1986,0,0,0,180,616,0,9,46,8,0,5,525,16,0,0,0,0,0,0,38,0,0,0,25,415,17,0,0,0,16,12,0,121,0,0,0,17,9,17,136,29,17,0,0,54,0
1987,0,0,0,175,612,0,5,51,9,0,0,495,29,0,0,0,0,0,0,31,0,0,8,34,447,21,0,0,0,22,14,0,76,0,0,0,6,5,8,136,39,25,0,0,57,0
1988,0,0,0,179,558,0,9,65,7,0,0,487,19,0,0,0,0,0,0,31,0,0,0,48,452,23,0,0,0,16,20,0,69,0,0,0,10,6,11,135,27,12,0,0,62,0
1989,0,0,0,160,551,24,10,122,10,0,5,477,28,0,0,0,0,0,0,39,0,0,5,44,438,24,0,0,0,17,42,0,91,0,0,0,8,6,17,135,37,20,0,6,81,0
1990,0,0,0,150,578,26,0,158,17,0,0,441,29,0,0,0,0,0,0,31,0,0,0,43,534,48,0,0,0,11,60,0,91,0,0,0,7,5,20,126,21,25,0,0,58,0
1991,0,0,0,141,552,39,9,163,29,0,5,402,59,0,0,0,0,0,0,30,0,0,0,45,506,66,0,0,0,8,109,7,76,0,0,0,6,0,13,110,17,18,0,0,48,0
