Length,Count,Proportion
115,503,0.30729004392476
116,500,0.305457300124016
117,484,0.295682666520047
118,426,0.260249619705661
119,464,0.283464374515087
120,456,0.278577057713102
121,473,0.288962605917319
122,393,0.240089437897476
123,453,0.276744313912358
124,418,0.255362302903677
125,448,0.273689740911118
126,393,0.240089437897476
127,399,0.243754925498964
128,396,0.24192218169822
129,428,0.261471448906157
130,369,0.225427487491524
131,394,0.240700352497724
132,378,0.230925718893756
133,335,0.20465639108309
134,345,0.210765537085571
135,338,0.206489134883835
136,366,0.223594743690779
137,346,0.211376451685819
138,378,0.230925718893756
139,424,0.259027790505165
140,357,0.218096512288547
141,313,0.191216269877634
142,312,0.190605355277386
143,332,0.202823647282346
144,306,0.186939867675898
145,307,0.187550782276146
146,263,0.160670539865232
147,277,0.169223344268705
148,288,0.175943404871433
149,291,0.177776148672177
150,255,0.155783223063248
151,280,0.171056088069449
152,251,0.153339564662256
153,259,0.15822688146424
154,247,0.150895906261264
155,241,0.147230418659776
156,242,0.147841333260024
157,269,0.16433602746672
158,224,0.136844870455559
159,241,0.147230418659776
160,220,0.134401212054567
161,225,0.137455785055807
162,219,0.133790297454319
163,227,0.138677614256303
164,238,0.145397674859031
165,244,0.14906316246052
166,194,0.118517432448118
167,195,0.119128347048366
168,226,0.138066699656055
169,212,0.129513895252583
170,199,0.121572005449358
171,216,0.131957553653575
172,210,0.128292066052087
173,214,0.130735724453079
174,244,0.14906316246052
175,178,0.10874279884415
176,187,0.114241030246382
177,176,0.107520969643654
178,200,0.122182920049606
179,200,0.122182920049606
180,198,0.12096109084911
181,185,0.113019201045886
182,184,0.112408286445638
183,212,0.129513895252583
184,176,0.107520969643654
185,178,0.10874279884415
186,168,0.102633652841669
187,186,0.113630115646134
188,202,0.123404749250102
189,182,0.111186457245142
190,167,0.102022738241421
191,164,0.100189994440677
192,180,0.109964628044646
193,193,0.11790651784787
194,188,0.11485194484663
195,181,0.110575542644894
196,161,0.098357250639933
197,190,0.116073774047126
198,154,0.0940808484381968
199,149,0.0910262754369567
200,161,0.098357250639933
201,149,0.0910262754369567
202,149,0.0910262754369567
203,168,0.102633652841669
204,170,0.103855482042165
205,178,0.10874279884415
206,161,0.098357250639933
207,156,0.0953026776386929
208,185,0.113019201045886
209,183,0.11179737184539
210,183,0.11179737184539
211,185,0.113019201045886
212,176,0.107520969643654
213,154,0.0940808484381968
214,153,0.0934699338379488
215,160,0.097746336039685
216,134,0.0818625564332362
217,148,0.0904153608367086
218,142,0.0867498732352204
219,141,0.0861389586349724
220,146,0.0891935316362126
221,157,0.0959135922389409
222,137,0.0836953002339803
223,117,0.0714770082290197
224,143,0.0873607878354685
225,136,0.0830843856337323
226,142,0.0867498732352204
227,132,0.0806407272327401
228,137,0.0836953002339803
229,126,0.0769752396312519
230,147,0.0898044462364606
231,134,0.0818625564332362
232,127,0.0775861542315
233,141,0.0861389586349724
234,141,0.0861389586349724
235,150,0.0916371900372047
236,158,0.0965245068391889
237,161,0.098357250639933
238,171,0.104466396642413
239,145,0.0885826170359645
240,165,0.100800909040925
241,134,0.0818625564332362
242,142,0.0867498732352204
243,142,0.0867498732352204
244,119,0.0726988374295157
245,131,0.0800298126324921
246,162,0.0989681652401811
247,144,0.0879717024357165
248,110,0.0672006060272834
249,136,0.0830843856337323
250,172,0.105077311242661
251,122,0.0745315812302598
252,140,0.0855280440347244
253,136,0.0830843856337323
254,160,0.097746336039685
255,186,0.113630115646134
256,170,0.103855482042165
257,154,0.0940808484381968
258,146,0.0891935316362126
259,154,0.0940808484381968
260,141,0.0861389586349724
