DATE,FRANCIS_M,FRANCIS_F,KELLY_M,KELLY_F,LESLIE_M,LESLIE_F,TAYLOR_M,TAYLOR_F,RILEY_M,RILEY_F,CHRIS_M,CHRISTINE_F,CHRISTOPHER_M,CHRISTIAN_M,CHRISTA_F,CHRISTY_F,CHRISTIE_F,CHRISTINA_F,KRISTY_F,KRISTINE_F,KRISTOPHER_M,CHRISTIANA_F,KRISTINA_F,KRIS_M
1935,0.2711028958718423,0.0,0.0,0.0,0.1725200246457178,0.0,0.0,0.0,0.0,0.0,0.0,0.16019716574245227,0.07393715341959334,0.0,0.0,0.0,0.0,0.06161429451632779,0.0,0.0,0.0,0.0,0.0,0.0
1936,0.2680965147453083,0.0,0.0,0.0,0.31472199557057934,0.0,0.0,0.0,0.0,0.0,0.0,0.06993822123790652,0.08159459144422428,0.0,0.0,0.0,0.0,0.15153281268213079,0.0,0.0,0.0,0.0,0.0,0.0
1937,0.29657293497363796,0.07688927943760984,0.0,0.0,0.13181019332161686,0.0,0.0,0.0,0.0,0.0,0.0,0.15377855887521968,0.13181019332161686,0.0,0.0,0.0,0.0,0.054920913884007036,0.0,0.0,0.0,0.0,0.0,0.0
1938,0.2588610115491836,0.0,0.0,0.0,0.1991238550378335,0.0,0.0,0.0,0.0,0.0,0.0,0.049780963759458376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1939,0.19809825673534073,0.0,0.0,0.0,0.2179080824088748,0.0,0.0,0.0,0.0,0.0,0.0,0.07923930269413629,0.04952456418383518,0.0,0.0,0.0,0.0,0.07923930269413629,0.0,0.0,0.0,0.0,0.0,0.0
1940,0.2944640753828033,0.0,0.0,0.0,0.1850917045263335,0.0,0.0,0.0,0.0,0.0,0.0,0.09254585226316675,0.12619888944977284,0.0,0.0,0.0,0.0,0.04206629648325761,0.0,0.0,0.0,0.0,0.0,0.0
1941,0.25498377375985165,0.04636068613815484,0.0,0.0,0.19316952557564518,0.07726781023025807,0.0,0.0,0.0,0.0,0.0,0.08499459125328389,0.061814248184206465,0.0,0.0,0.0,0.0,0.07726781023025807,0.0,0.0,0.0,0.0,0.0,0.0
1942,0.224703799536974,0.047664442326024785,0.0,0.0,0.1974669753506741,0.07490126651232466,0.0,0.0,0.0,0.0,0.0,0.047664442326024785,0.12937491488492442,0.0,0.0,0.0,0.0,0.09532888465204957,0.0,0.0,0.0,0.0,0.0,0.0
1943,0.23136872868972236,0.042620555284948854,0.0,0.0,0.25572333170969314,0.07915245981490501,0.0,0.0,0.0,0.0,0.0,0.07306380905991232,0.10350706283487579,0.0,0.0,0.0,0.0,0.0974184120798831,0.0,0.0,0.0,0.0,0.0,0.0
1944,0.2179440610243371,0.0,0.0,0.0,0.16345804576825282,0.15135004237801186,0.0,0.0,0.0,0.0,0.0,0.11502603220728902,0.17556604915849378,0.0,0.0,0.0,0.0,0.04237801186584332,0.0,0.0,0.0,0.0,0.0,0.0
